OrderDate,Sales,Profit
1,2022-01-01,0.98,0.18
2,2022-01-02,1.1,-1.13
3,2022-01-02,1.01,-1.19
4,2022-01-02,1.51,-0.73
5,2022-01-02,1.08,0.84
6,2022-01-02,1.13,-2.56
7,2022-01-03,0.58,-2.38
8,2022-01-04,1.27,-0.44
9,2022-01-05,0.92,-0.63
10,2022-01-05,0.55,-0.27
11,2022-01-06,1.06,-0.5
12,2022-01-06,1.08,0.67
13,2022-01-06,1.24,0.93
14,2022-01-06,1.22,-2.25
15,2022-01-07,1.2,-0.27
16,2022-01-07,1.84,-3.69
17,2022-01-08,1.66,-2.38
18,2022-01-08,1.09,0.76
19,2022-01-09,1,-0.81
20,2022-01-10,0.84,-0.6
21,2022-01-10,1.39,0.37
22,2022-01-10,0.81,0.7
23,2022-01-10,1.03,-0.37
24,2022-01-11,1.43,-1.2
25,2022-01-12,1.03,-0.38
26,2022-01-12,1.23,0.14
27,2022-01-12,1.8,1.08
28,2022-01-12,1.98,0.36
29,2022-01-12,1.63,-1.51
30,2022-01-13,1.85,-1.71
31,2022-01-13,0.85,0.84
32,2022-01-13,58.76,15.97
33,2022-01-13,2.17,1.16
34,2022-01-14,1.43,1.38
35,2022-01-14,1.45,-1.85
36,2022-01-15,1.62,-0.15
37,2022-01-15,1.39,-0.11
38,2022-01-16,1.85,-2.86
39,2022-01-16,0.93,0.46
40,2022-01-16,1.02,0.98
41,2022-01-17,0.99,0.22
42,2022-01-18,0.98,-2.44
43,2022-01-19,1.09,-2.92
44,2022-01-19,1.87,-2.85
45,2022-01-19,0.9,0.16
46,2022-01-20,1.33,1.14
47,2022-01-20,2,-0.79
48,2022-01-20,0.69,0.05
49,2022-01-20,1.54,0.84
50,2022-01-21,0.88,-0.48
51,2022-01-21,1.81,1.39
52,2022-01-21,1.51,1.19
53,2022-01-21,1.33,-0.17
54,2022-01-21,1.17,0.63
55,2022-01-22,0.7,-1.93
56,2022-01-22,0.93,-0.18
57,2022-01-22,0.95,-1.42
58,2022-01-22,1.77,-1.38
59,2022-01-22,1.15,0.41
60,2022-01-23,1.17,-0.16
61,2022-01-23,1,-1.49
62,2022-01-23,1.23,0.46
63,2022-01-23,0.71,-0.19
64,2022-01-23,1.64,-0.92
65,2022-01-24,1.55,0.52
66,2022-01-24,1.89,-0.2
67,2022-01-24,1.19,0.79
68,2022-01-24,1.62,1.54
69,2022-01-25,0.89,-0.07
70,2022-01-25,1.59,-0.97
71,2022-01-26,1.41,0.34
72,2022-01-26,1.78,-1.35
73,2022-01-26,1.74,-1.64
74,2022-01-26,0.93,-2
75,2022-01-27,1.49,0.35
76,2022-01-27,2.28,0.06
77,2022-01-27,1.11,-1.54
78,2022-01-28,1.64,-0.08
79,2022-01-28,1.37,1.09
80,2022-01-29,1.29,-0.33
81,2022-01-30,1.64,0.24
82,2022-01-30,1.77,-1.18
83,2022-01-31,1.15,-1.46
84,2022-01-31,1.44,0.18
85,2022-01-31,1.67,0.53
86,2022-02-01,0.94,-2.59
87,2022-02-01,2.08,1.65
88,2022-02-02,1.04,0.74
89,2022-02-02,2.41,0.48
90,2022-02-02,1.4,-0.76
91,2022-02-02,1.16,0.06
92,2022-02-03,2.11,1.82
93,2022-02-03,1.42,1.06
94,2022-02-03,2.28,-0.21
95,2022-02-03,1.23,0.03
96,2022-02-04,1.2,-1.31
