X0,X1,X2,X3,X4,X5,y
-3.4344,-2.3346,2.4325,-0.7193,3.4253,0.0289,0
-1.3809,-2.5535,-2.2161,-2.5927,-0.5941,0.6402,2
-0.8986,-5.4876,0.6294,5.6089,1.3148,-5.7735,2
-6.412,4.4579,0.1161,-1.9737,0.8902,5.2235,0
0.7803,-4.087,2.5625,-1.7968,-3.228,-3.243,3
-3.8417,-0.9374,3.6137,1.8494,6.2333,2.0339,0
0.7932,-1.6574,-1.177,-2.4689,2.3816,1.5996,1
-1.24,-0.2727,-1.9641,-1.3142,-1.6848,2.0815,0
3.2279,3.4133,1.7289,0.6158,2.9192,-1.1185,1
-7.0771,-3.3931,2.1702,-3.5456,3.7641,4.1644,0
4.8981,-0.8895,2.4206,0.9996,5.409,-2.2546,1
-0.3824,-2.0529,6.7967,1.2839,2.033,-5.818,3
1.4781,4.7929,-0.8787,-2.8224,1.1066,1.1999,1
1.1721,1.9687,-1.8214,2.1349,-0.0567,-1.3237,3
-2.9194,4.8731,-3.0376,3.2924,-0.423,-0.5789,1
1.9937,-0.0684,-4.9124,-1.3216,0.2638,0.0099,1
0.3713,0.0106,4.7119,-2.0067,-2.2396,-3.4956,3
-3.4945,-2.4895,3.9589,4.9695,2.458,-9.2333,3
0.8278,-1.9135,1.8132,-2.1577,-4.1886,-2.6262,3
-1.8544,-6.57,-0.6742,-0.2014,-1.0243,0.67,3
-2.6708,1.9568,-0.4199,-3.4426,1.6818,2.895,0
0.4127,-5.9705,-1.9064,-6.2524,-0.2764,-2.8181,2
-2.0889,-2.4024,1.4774,-0.0801,1.7828,0.0896,1
-2.4708,-2.4282,2.8985,-0.6278,0.2524,-4.8505,0
-2.5251,-1.2656,4.9172,-1.3803,3.2748,2.2104,0
-5.0652,3.6329,7.4738,1.5991,-7.7513,-0.844,3
1.5641,-4.724,3.9736,4.6765,-0.9805,-2.9277,3
-4.4451,-0.0998,3.6409,-4.0019,-0.0751,1.3781,0
-0.116,-0.247,1.2656,-0.0347,3.221,3.3277,1
-0.1214,-2.4113,3.2356,-0.2117,0.3001,2.7977,2
-9.1679,0.1339,-1.7542,-2.088,2.9069,3.3385,0
0.5355,-1.2217,7.2429,-2.7485,-0.9125,-0.9092,2
-1.1716,5.7175,-2.8353,-0.6803,-4.3804,-0.7782,1
1.8277,-3.5123,1.9241,0.141,4.7319,-7.4598,3
2.287,-3.7675,-6.0995,-1.2262,-0.8122,-4.3526,2
-3.7446,-0.8499,4.6846,-5.5686,-3.7976,1.8724,0
-1.3643,3.5066,3.5046,2.7878,-1.9479,-7.262,3
5.3961,-2.7173,2.5166,1.6207,0.2713,-0.7768,3
-1.0849,4.4783,4.2968,-1.0644,1.5082,-2.538,0
2.3373,-4.0484,6.7324,-4.4725,-1.7142,-1.7286,2
2.8639,-1.075,6.9603,1.5656,-3.1573,-1.0501,3
-1.23,1.6021,-2.9416,-3.7139,0.2326,4.6055,0
-1.8231,-4.9888,-1.9118,-8.1887,3.4181,-1.7731,0
-3.0785,3.1237,-1.0124,-6.6152,-0.4982,-3.4078,0
-2.7568,-1.0873,2.2264,-9.1374,3.2415,5.9736,0
-2.2294,2.0791,0.4165,5.3228,1.9204,-1.6194,1
-6.2514,-3.488,-0.2691,-5.673,-0.6568,4.5297,0
0.7016,-1.4647,-0.0863,-5.352,-1.9179,-4.1712,2
-0.2924,2.5555,0.2525,4.1381,0.1206,-0.7938,1
-1.6584,0.4978,2.6538,-3.8824,0.2757,5.0401,0
2.0688,0.7207,-2.9498,-3.114,4.4086,1.2477,1
0.0601,1.1261,0.5473,-4.3738,0.5652,-1.0347,0
0.4325,-1.4755,-0.5165,-3.4563,7.2456,-2.5164,0
-6.1959,2.5547,-5.7163,-0.6175,-2.7809,1.975,1
-2.6444,-0.3631,3.0878,-1.6281,2.9864,-1.696,0
3.135,-4.7894,7.5453,-1.8653,-0.1772,1.0525,2
0.5263,0.2734,-1.6591,-4.1696,0.7078,-0.1061,1
-2.5658,4.1203,0.9744,-0.5867,3.9107,-2.7856,3
4.8682,1.8473,-3.6532,-9.5653,-0.4533,2.3512,0
4.8325,0.1941,-2.0799,-6.9,0.0101,-5.444,2
0.0079,-2.8752,1.0962,0.379,-1.5224,-1.6415,2
-1.2832,-1.2112,2.9265,0.5963,-5.3156,-0.1693,3
-0.1482,-3.6282,1.226,-1.667,-0.1186,-2.6381,2
-3.7492,-1.227,3.5012,-0.3169,-0.2722,-3.2041,3
-1.8364,0.1405,1.8845,0.8698,1.3458,0.5977,1
-2.3066,0.0789,2.2138,-4.6343,4.1136,4.6607,0
1.7949,5.1644,-1.9778,0.4615,0.3504,2.1974,0
2.1058,-2.3508,4.2651,1.7469,1.7889,-1.8597,3
5.4957,5.9707,1.5235,-4.746,1.3833,3.5557,0
5.3998,-4.1322,-0.3432,-2.5318,7.1171,0.7293,2
-3.3568,-3.5998,-5.4578,-2.9016,0.2437,1.2717,2
2.6278,5.4915,2.1204,1.0046,5.5266,1.5562,1
-3.9673,-0.3275,1.8689,-3.9914,8.1767,-3.0636,1
4.2885,-1.5672,-0.2963,1.0154,-3.9213,-6.2138,3
1.476,2.3863,-0.3854,4.048,-1.2218,2.7871,1
3.703,0.4956,-1.5385,0.8336,-1.0654,-1.1731,3
2.4303,-3.4432,3.0297,-2.7338,0.8677,-4.6233,3
2.0387,1.5153,-1.6137,6.541,3.3341,-2.1614,1
-1.0128,-0.7906,4.2609,-2.1096,-3.9277,-3.034,2
-0.0875,0.7004,1.3772,-0.6872,-6.2019,-6.1687,2
-1.2542,-2.1601,0.7606,-3.154,-1.0507,-0.931,2
-0.3021,0.4087,-2.8323,-4.7196,5.035,-2.5989,0
-1.9439,2.2296,-3.7731,4.2317,1.7209,1.1093,1
-1.0029,-6.0203,0.2103,-4.0117,-1.2747,-4.5983,2
2.5011,-4.5184,6.5983,1.0409,-1.3863,-1.4771,3
-5.6536,-0.0574,-2.0839,-3.0613,0.0539,0.1911,0
-0.181,-2.0214,-3.3747,-6.711,-1.7041,-0.07,2
-1.1103,-3.4334,6.3307,-1.7553,1.249,-3.3543,3
3.4168,-4.586,3.4987,-1.8264,2.3233,-5.9115,3
-4.7029,-1.4255,-0.9038,-4.6969,-1.0605,-1.401,0
3.2069,-9.1254,2.434,-1.1629,1.2407,-5.4193,2
-3.6789,1.9575,0.9269,-2.9998,3.8815,3.4287,1
-1.8381,0.3624,3.6028,-0.2851,1.5732,0.5925,1
-6.1508,-2.6952,3.4929,-4.7334,2.7762,3.0571,0
-0.2004,-0.6802,0.8129,0.6955,-0.0718,-1.1436,2
-5.2725,5.0152,-6.0948,-2.2187,1.9413,4.6012,0
0.5105,1.2383,2.9369,2.9178,4.3963,5.1364,1
-2.6551,0.7386,0.0538,-3.2364,4.9416,-0.5082,1
1.686,-0.9039,-1.2922,-4.5905,-0.88,-4.5362,2
-0.5473,0.414,0.0845,2.4842,1.1384,0.835,1
3.025,0.8003,-0.248,-6.5295,-2.0876,-9.6281,3
-0.8739,-3.2076,2.1364,-5.6914,-6.5438,-4.6187,0
0.0786,-3.2902,1.6744,1.0748,4.468,3.2083,1
2.0691,-1.3295,-2.3322,2.2158,1.3626,0.5237,1
-3.7805,3.0286,0.5832,-2.9375,3.8241,-2.4458,1
-0.3869,3.1049,0.274,-4.48,2.4664,6.0371,0
-1.0509,-1.2594,-3.3026,-1.346,5.2495,-6.4252,1
-2.7931,-1.1634,-2.8038,0.0768,2.4995,-0.4731,1
0.4972,-1.7828,-4.3404,-2.0202,-2.1765,-2.6838,2
-1.0197,-5.3533,-5.036,-2.8233,1.5944,-3.2878,2
-2.7418,1.1818,2.9751,-0.2839,4.2857,-1.6157,1
-0.3575,2.4614,2.6309,0.9273,3.6393,-0.4812,1
3.934,-0.0025,-1.1312,-3.6531,-6.3906,1.9065,2
0.7267,-2.8487,4.4044,4.0539,1.7104,-1.6924,3
1.4711,0.708,3.4653,-4.3368,-0.6791,-1.5979,0
-2.1103,-3.5133,-2.3409,-4.2175,-3.9346,-0.6776,2
-0.0832,2.3791,-0.6667,0.4873,0.3528,2.5565,0
-1.2591,0.7935,-4.0485,-4.8408,1.8424,-3.318,1
1.1667,6.8791,2.05,-0.5279,5.1579,2.1234,1
1.1833,1.062,3.0228,-0.8851,-3.9737,-5.6962,3
-4.8232,0.856,-1.5638,2.1275,-1.7036,-2.2533,1
1.4452,1.2471,-1.286,4.5694,0.7138,4.0838,1
-2.8538,-9.5517,0.0401,-3.3922,1.7772,-3.2202,2
0.6948,-3.2903,4.9551,2.409,-1.8857,-3.6952,3
0.5467,6.1897,1.5013,-1.2641,-2.0852,0.6633,1
3.9693,-3.8607,-1.3724,-5.4927,0.4179,-2.5372,2
-1.9863,-2.0309,5.3761,0.5405,-2.6707,-2.6666,3
-0.8143,-0.178,2.707,-0.4287,-1.3499,3.7135,1
3.9395,0.9333,1.8565,2.1083,-2.2611,-2.5622,3
-5.1521,5.118,-2.3266,3.3666,1.7608,-2.0748,1
0.8939,0.1162,-3.0674,-0.1827,-0.9757,-2.9293,1
-1.704,2.7741,2.9987,-4.7149,-0.7663,-2.3013,0
5.3854,1.2888,-0.5196,-1.2046,-1.71,-3.2202,2
-1.8849,1.3724,1.3969,-0.0235,1.4666,0.9996,1
3.8032,0.1379,1.2467,-1.9554,2.2592,1.1907,1
-3.5758,-3.3293,-2.8766,-2.4345,-0.6491,-1.6326,2
4.6719,-0.9048,3.4713,-7.2277,2.56,-3.0613,2
3.0617,-1.4978,1.6632,0.9769,-2.2105,-6.18,3
6.0765,1.8591,-0.322,2.1644,0.8732,0.0434,1
5.073,0.8652,5.4584,6.6124,-0.5335,-3.5355,1
-0.4576,3.0996,3.7993,-1.5079,-5.6261,-2.4477,3
-2.5118,-0.4244,2.3924,3.1082,2.0229,-2.0461,1
-0.8963,-0.6092,-1.2955,5.1175,3.0223,-4.3817,1
-2.906,-1.2943,1.3843,-4.6634,-1.1608,-6.0945,2
4.1321,-0.385,1.2675,-0.1981,-1.3039,-2.7536,2
-2.0222,0.5189,-5.2401,0.2418,-0.0112,2.0283,1
-0.2178,1.0135,5.0055,-4.3196,-1.3836,1.2149,2
-0.5534,-2.4237,-1.2595,-3.2133,1.5512,-1.1215,2
0.603,1.8337,7.3379,-2.1948,-3.3476,-2.3505,3
0.6264,-3.9528,7.6118,-4.0443,3.1221,0.2946,0
2.0675,4.7028,1.2209,-5.1667,0.7435,-2.8769,3
-6.1427,4.4938,-1.4084,-3.8592,5.9026,0.3029,1
3.7315,0.8021,6.2169,-0.1042,-1.1923,-7.2354,1
-1.3828,-0.2459,-1.2987,-3.4311,2.4914,0.0119,2
-2.1829,1.1744,0.5475,-0.3412,1.5423,3.8652,0
-2.3602,-0.7357,2.5685,-0.6224,1.3469,-2.1007,2
-3.1693,-5.9532,1.7641,-9.2878,1.613,4.5466,0
1.359,-2.0107,2.4309,3.7008,3.1037,0.307,1
2.4356,-0.0866,5.7306,-3.2289,2.2914,-0.1345,0
0.6025,0.7764,-2.9675,-4.9221,2.7759,-2.4488,1
0.5884,-0.2788,-2.3705,3.5168,2.4931,-1.8052,1
-4.3697,1.9492,-0.7685,0.586,4.2457,0.9779,0
1.8693,0.8276,0.7579,1.0151,-2.2042,-3.058,3
1.9168,-2.1771,6.5045,4.9164,-3.6819,-7.9934,3
3.6373,0.764,3.2201,-2.929,-0.4454,-3.09,3
-4.7713,4.5395,-0.6767,-1.1304,0.4956,-1.6614,0
-1.0094,-0.3913,5.2514,-0.7062,6.5395,6.056,0
-0.5364,0.5429,4.0496,-2.3386,1.0052,-3.5548,1
2.1638,3.7976,3.2069,-2.2083,0.152,-7.6341,3
1.0535,0.8731,0.8692,1.6462,-1.6066,5.843,1
3.1663,-0.7493,-3.8868,0.8659,-1.5657,-1.7916,1
2.6547,0.3999,7.0529,5.0335,-2.0098,-4.0596,3
-1.1794,3.1587,0.2369,-7.7383,-1.8538,-2.6903,0
-3.1714,-4.9227,4.1104,1.4049,-3.4162,-4.8213,3
-1.7853,2.3458,-2.8589,-6.2451,-0.3432,0.9183,0
-2.3484,2.3934,1.1755,1.0911,4.4413,-1.7793,1
-1.1514,2.4689,-4.7719,-0.2284,-0.3049,0.2073,1
5.7961,0.1138,5.5525,-0.466,0.5758,-0.9769,3
-2.1747,-1.7203,4.1154,-1.7543,-4.8338,-1.9086,3
0.3399,-2.6869,-1.3649,-0.9506,-2.6121,2.123,1
0.4784,6.4109,-2.8484,2.3791,2.1146,1.3507,1
3.0168,3.0316,4.501,-1.1245,0.5681,-9.3775,3
-4.3549,1.9443,-1.0308,1.6316,0.0647,3.4944,1
-0.8919,-2.4131,2.9882,-0.5333,-1.7831,-7.2,3
-0.9966,-2.7735,1.7257,0.2862,-4.7997,-2.174,3
2.5339,-7.4928,3.8205,-1.3994,-1.0734,-5.8509,2
-3.3076,1.1558,-1.7379,-0.4589,0.4948,-4.5325,2
-1.898,-0.579,-0.1017,-3.5475,1.8457,-1.2531,0
-2.6732,-3.8589,0.0217,-5.2902,-0.7701,2.2358,2
0.6288,-0.3466,-6.6277,-7.2217,-0.1303,4.6052,0
-2.9333,0.9129,-1.3805,-2.6132,-1.9192,1.5416,0
-0.7058,2.6441,-1.8188,-0.0799,-0.5292,-1.6943,1
-5.2079,0.3646,-1.8311,0.2959,-0.0937,1.3874,1
-1.5987,0.0246,1.4888,0.7098,-1.8826,-1.6012,0
-1.4922,-1.4169,1.3699,-3.3251,-2.1136,-0.6618,2
-4.2494,0.1213,4.1204,0.4431,1.2865,-1.6585,3
0.5319,0.7929,-0.1716,-1.1243,-1.9516,3.6071,0
-3.0456,1.3543,0.0926,-3.8027,2.835,-0.9518,0
-3.4589,-1.4487,2.4834,2.353,-2.013,-4.2534,3
-1.8872,-2.8862,-1.5175,1.7011,5.2061,0.3641,0
2.7863,-1.2784,-1.2239,-4.6602,-0.9083,-0.6811,2
4.652,0.6195,-0.2579,-2.2977,-1.8148,1.9002,2
-1.1551,4.2122,-0.9324,1.871,4.4157,-0.7344,1
-1.7706,3.5409,0.7469,-4.2364,-0.7804,-2.3611,1
-0.9586,-0.3916,1.207,-5.005,2.3233,0.7255,0
-1.1366,-0.4104,2.8528,-0.0443,-3.3004,-8.3741,3
-7.8311,-4.3589,3.9169,-2.1771,-1.3692,1.2976,0
0.7397,-2.255,1.7761,-0.8812,-3.7868,2.5047,0
-3.2184,1.7351,2.2968,-4.5813,-1.1795,-4.2609,3
0.1828,-3.4854,3.1897,0.2224,-0.8835,3.0029,1
-1.2325,-1.0179,-1.961,0.133,2.707,1.4412,1
1.9405,-2.6067,-0.9384,-3.0208,-1.3995,1.5455,2
3.0999,-6.4326,-2.4147,-6.8099,0.8216,2.9464,2
-3.845,-4.2977,-1.9723,-0.2715,-4.8597,-2.237,3
-5.2813,-0.0361,3.3576,1.8651,-2.7716,-4.1035,3
-3.8599,3.5834,-2.0061,-3.4184,-1.4927,-0.916,1
2.4779,-0.6806,2.8847,-2.0353,2.2743,-6.5246,3
-0.4213,-4.7741,-1.5436,-2.0863,-0.9025,-1.9482,2
-1.552,1.7665,0.3746,1.386,-1.2784,6.3018,0
-0.1317,-2.3676,4.8232,-0.1658,0.2286,0.0392,0
-0.0973,3.5584,4.873,-2.4692,1.9621,-2.7471,3
-2.9119,-3.6301,0.0519,-2.7127,-0.5489,-1.0663,2
1.8711,0.7086,-0.0842,0.3196,-6.2843,-1.5219,1
2.8708,-0.2463,-4.2319,0.8548,6.8409,-0.108,1
2.1252,-3.6644,-4.2255,-5.1264,-0.6141,-2.7207,2
-5.0886,-4.2144,-2.5398,-4.181,0.3224,5.8958,0
2.0085,-1.2157,-2.9856,-0.1138,-1.1198,-2.3519,1
-5.7462,-3.5176,1.3409,-1.9565,0.0772,2.4554,0
2.044,0.5159,0.318,-2.5666,-0.9684,-2.4278,2
1.2325,2.7353,-1.9815,0.761,2.6019,-0.3774,1
-0.5275,3.2307,-2.3395,-3.6403,2.8663,-0.0285,2
-0.5236,-3.6041,0.1217,2.1605,4.5947,1.4684,1
1.0312,-4.0997,-1.3655,1.3157,-1.6158,0.8793,2
3.6445,-4.1894,2.9221,-2.9409,4.1805,-2.4171,2
-0.274,-0.0108,4.2271,2.0457,-0.1215,-2.5716,1
-2.4725,-5.2618,-5.004,-5.521,3.94,1.1059,2
-0.6671,-0.9707,-1.8772,-7.8446,3.7061,1.1251,0
-0.3388,-1.5893,-3.6277,-2.2997,-5.3977,-3.9626,2
4.0588,-2.3452,0.1634,-10.3877,0.1121,2.2576,2
-1.077,0.1223,5.1829,-2.1962,-2.5521,2.2728,1
-2.5587,2.0297,-3.921,-0.1093,1.4652,-1.0668,1
0.4104,1.8326,0.3567,0.5132,-1.4306,-2.7808,3
