Segment,Price,PromoSpend,Usage,Tenure,SupportTickets,CompetitorPrice,Region
A,18.8267,10.3271,0.4873,37,0,14.6627,South
B,21.4806,30.8429,0.2539,48,0,16.16,East
B,18.3441,58.331,0.5397,47,1,15.1821,South
A,15.8077,54.9284,0.4265,31,2,17.5455,South
B,12.8332,16.8523,0.3678,10,0,16.4856,East
C,16.615,92.5117,0.2941,45,1,15.3347,North
C,15.8667,72.456,0.5606,19,2,12.0574,North
A,19.9482,63.7059,0.1795,25,0,15.5091,South
B,21.9667,22.9637,0.3744,37,0,14.9971,West
C,16.4253,54.4249,0.8295,40,0,16.5477,North
A,21.3491,42.3073,0.1492,37,2,13.559,West
C,8.8189,11.0101,0.4726,2,1,14.347,North
C,8.1434,14.5638,0.7304,18,1,14.5628,North
C,19.4888,74.1923,0.554,47,0,14.5801,North
A,17.8273,18.759,0.3705,1,0,15.3966,East
B,13.1823,13.8078,0.4776,4,1,17.1352,West
A,17.9402,12.7108,0.5312,35,2,12.7698,East
A,16.4755,1.2937,0.655,1,0,17.9089,South
A,19.7568,5.5937,0.4685,6,1,18.3072,East
B,16.0841,43.8571,0.5987,29,1,16.4085,South
A,20.4468,58.3632,0.4817,47,2,13.6397,East
B,19.6281,58.9686,0.2015,30,1,18.8391,North
C,12.3458,7.736,0.7085,43,2,12.4954,West
B,13.8944,37.299,0.3068,22,0,15.3425,West
C,9.8464,47.5514,0.6283,28,2,17.8999,East
C,10.5733,66.1628,0.3898,20,1,15.0619,West
B,21.2761,98.2668,0.58,31,2,15.8059,West
B,9.6766,120.0,0.1231,33,2,19.3379,East
B,9.3643,1.7055,0.6026,28,1,12.0073,East
C,8.8232,54.8863,0.2855,15,0,15.0352,North
B,17.0267,4.8595,0.0364,33,1,17.8334,North
C,11.6668,39.7121,0.8805,16,0,14.7276,West
C,9.9589,31.3922,0.3828,20,0,15.9616,North
C,8.5239,94.7485,0.5802,46,1,15.829,North
B,16.1857,33.6214,0.4916,43,1,14.1826,West
C,9.1165,15.2403,0.9279,36,1,13.2401,West
C,12.4045,37.1515,0.4147,25,1,14.1874,West
B,16.8902,54.9229,0.4215,42,1,15.9097,South
A,18.4474,32.5304,0.4838,41,3,16.3561,East
A,18.7967,35.5293,0.071,37,3,14.7357,North
C,19.7567,28.551,0.704,45,1,10.5292,West
A,19.6734,120.0,0.2428,45,1,15.8303,South
C,15.1755,24.3667,0.919,29,0,14.4494,West
C,8.6607,27.0115,0.5851,37,0,12.3366,North
B,8.9565,30.4416,0.2333,35,1,10.7098,West
C,14.585,45.6197,0.4526,13,0,17.0642,North
A,17.6644,21.3198,0.2978,18,2,18.9405,East
B,21.6719,9.4605,0.4957,22,0,16.5585,West
B,11.1843,21.2643,0.3476,15,0,18.0242,South
B,9.8456,46.8009,0.1972,39,3,14.1548,North
A,15.1976,28.527,0.5188,12,2,13.8058,South
B,16.7375,11.633,0.4708,46,2,15.3105,West
A,19.1542,40.2893,0.3316,19,1,15.4926,South
A,21.4231,11.264,0.3729,12,0,13.9011,West
C,10.125,8.5294,0.6942,30,1,19.7344,West
B,10.7499,41.2723,0.4057,34,2,13.4629,South
A,21.3972,22.7263,0.1836,47,2,12.6501,East
A,19.6631,13.6118,0.6672,8,3,12.853,South
B,11.8773,25.3489,0.6286,1,1,13.2759,West
B,15.8173,22.3601,0.3773,18,0,16.9277,East
C,15.6556,74.3412,0.7911,43,1,14.4083,East
A,17.6793,55.5493,0.4615,39,2,13.9746,East
B,15.642,120.0,0.597,19,2,12.3467,East
C,15.3211,31.4158,0.6474,28,1,13.5063,North
A,18.852,61.813,0.0757,41,2,12.544,West
A,14.8075,7.4596,0.4978,36,2,13.1872,South
C,11.309,24.6679,0.8752,38,0,12.8026,South
A,12.7767,38.3113,0.1541,12,3,15.0653,West
B,19.6423,14.4661,0.2737,30,1,14.4656,North
A,17.8876,40.2445,0.0895,45,1,18.8139,East
B,17.634,9.3381,0.3971,45,0,12.9934,South
C,11.2528,6.8728,0.6361,30,1,14.0278,West
C,11.7747,19.9191,0.8765,37,2,13.0744,North
B,15.6548,69.7412,0.5335,12,1,17.2411,South
B,21.9733,17.2259,0.5151,34,0,19.9741,East
B,13.7593,60.1582,0.3514,35,2,15.704,East
C,12.1681,4.1377,0.4398,44,2,18.0247,North
A,20.9099,13.4847,0.588,20,2,16.6889,West
A,16.9136,63.3064,0.4884,5,1,15.5262,West
C,10.2996,4.6882,0.4916,34,0,13.1225,North
A,9.7086,26.2366,0.3024,5,0,14.7459,South
B,9.533,24.47,0.4419,14,1,14.9978,East
C,15.7959,39.4763,0.6863,41,0,13.6034,West
C,16.5141,68.4297,0.7586,41,2,14.0645,East
B,12.8674,19.5853,0.4743,27,1,16.6161,North
C,18.9535,57.9318,0.9326,17,0,15.3584,East
A,15.5102,40.573,0.4293,5,0,16.4527,East
B,16.9655,12.9353,0.8037,36,0,11.8892,South
A,15.5147,13.9053,0.3933,33,1,12.5288,South
A,12.3922,25.1191,0.408,6,2,12.3608,South
